"t" "mg"
"522" 905.281921296296 3.9
"523" 905.530925925926 3.28
"524" 905.840277777777 3.57
"525" 905.84238425926 4.28
"526" 907.527627314815 3.21
"527" 908.02943287037 3.21
"528" 910.744571759259 3.37
"529" 911.94832175926 3.03
"530" 916.433587962963 3.32
"531" 916.883321759259 3.02
"532" 917.982372685186 3.38
"533" 919.681064814815 5.65
"534" 919.683472222222 4.2
"535" 919.684976851852 3.11
"536" 919.685104166667 3.08
"537" 919.685520833334 3.5
"538" 919.686261574074 3.96
"539" 919.686597222222 3.08
"540" 919.687268518518 3.28
"541" 919.687430555556 3.19
"542" 919.687476851852 3.35
"543" 919.68775462963 3.55
"544" 919.687974537037 3.32
"545" 919.690439814814 3.04
"546" 919.694224537037 3.19
"547" 919.696481481482 3.45
"548" 919.697430555556 3.1
"549" 919.698784722223 3.37
"550" 919.701261574074 3.72
"551" 919.702025462963 3.09
"552" 919.702476851852 3.35
"553" 919.703738425926 3.46
"554" 919.711712962963 3.71
"555" 919.713715277778 3.08
"556" 919.71460648148 4.29
"557" 919.715972222222 3.96
"558" 919.717013888889 3.04
"559" 919.717118055555 3.06
"560" 919.718530092593 3.28
"561" 919.7240625 4.3
"562" 919.727581018518 3.19
"563" 919.73210648148 3.57
"564" 919.735416666666 3.08
"565" 919.767337962963 3.5
"566" 919.785185185186 3.11
"567" 919.794189814815 3.43
"568" 919.800486111111 3.01
"569" 919.862372685186 3.01
"570" 919.87005787037 3.05
"571" 919.871921296296 3.15
"572" 919.889768518518 3.16
"573" 919.908703703703 3.48
"574" 919.946087962963 3.37
"575" 919.955081018518 3.89
"576" 919.957025462963 3.05
"577" 919.985925925926 3.68
"578" 920.023796296296 3
"579" 920.04460648148 3.52
"580" 920.055636574074 3.05
"581" 920.080509259259 3.28
"582" 920.108564814815 4.07
"583" 920.203506944445 3.24
"584" 920.300370370371 4.11
"585" 920.692083333333 3.25
"586" 920.695381944444 3.71
"587" 920.772465277778 3.57
"588" 921.695949074074 3.06
"589" 921.79363425926 3.36
"590" 922.28289351852 3.08
"591" 922.61681712963 3.1
"592" 922.66074074074 3.36
"593" 922.926041666667 3.31
"594" 922.939618055556 3.13
"595" 922.958229166667 3.23
"596" 923.050358796297 3.04
"597" 923.186712962963 3.06
"598" 923.5315625 4.05
"599" 923.70273148148 3.09
"600" 924.010844907408 3.02
"601" 924.019791666667 3.34
"602" 924.36224537037 3.73
"603" 924.866064814815 5.45
"604" 924.870451388889 3.97
"605" 924.874224537037 3.23
"606" 924.876076388889 4.37
"607" 924.87699074074 3.3
"608" 924.882650462963 3.74
"609" 924.883275462963 3
"610" 924.89306712963 3.62
"611" 924.93550925926 3.45
"612" 924.951435185185 3.59
"613" 924.952881944444 3.23
"614" 924.965486111111 3.41
"615" 924.984039351852 3.3
"616" 925.027488425926 3.08
"617" 925.267511574074 3.22
"618" 925.28730324074 3.66
"619" 925.314421296296 4.14
"620" 925.341087962963 3.79
"621" 925.363541666667 3.25
"622" 925.369027777778 3.08
"623" 925.52550925926 3.49
"624" 925.595543981482 3.77
"625" 925.672141203704 3.74
"626" 925.905648148148 3.82
"627" 925.972326388889 3.41
"628" 926.010219907407 3.56
"629" 926.182743055556 3.27
"630" 926.249189814815 3
"631" 926.428935185185 3.06
"632" 927.064050925926 3.16
"633" 927.174039351852 3.03
"634" 927.314270833333 3.03
"635" 927.514479166667 3.28
"636" 927.82431712963 3.88
"637" 928.432465277778 3.21
"638" 929.149467592592 4.46
"639" 929.2046875 4.43
"640" 929.28554398148 3.19
"641" 929.44283564815 3.25
"642" 930.000416666667 3.74
"643" 930.00170138889 3.05
"644" 930.001967592592 3.29
"645" 930.080347222222 3.09
"646" 930.123622685185 3.37
"647" 930.392164351852 3.38
"648" 930.417604166667 3.13
"649" 930.72474537037 3.32
"650" 930.847916666667 3.42
"651" 930.86488425926 3.25
"652" 931.09605324074 3.36
"653" 931.834988425926 3.24
"654" 932.4825 3.07
"655" 932.951701388889 3.07
"656" 932.956678240741 3.52
"657" 933.05369212963 3.03
"658" 933.062152777778 4.02
"659" 933.282175925926 3.03
"660" 933.309236111111 3.21
"661" 934.41525462963 3.61
"662" 934.728483796296 3.65
"663" 935.015462962963 3.54
"664" 935.373877314815 3.37
"665" 936.45148148148 3
"666" 936.530590277778 3.06
"667" 936.7771875 3.06
"668" 937.202743055555 3
"669" 937.341539351852 3.06
"670" 937.405289351852 3.01
"671" 939.413032407408 3.74
"672" 939.731354166666 3.2
"673" 939.833472222223 3.16
"674" 940.572106481482 3.27
"675" 940.637280092593 4.31
"676" 940.765532407408 3.62
"677" 940.793969907408 3.12
"678" 941.310069444445 3.58
"679" 942.243900462963 4.15
"680" 942.337719907408 4.04
"681" 942.493217592592 3.14
"682" 942.61923611111 3.52
"683" 944.775659722222 3.56
"684" 945.242013888889 3.01
"685" 946.458680555555 3.46
"686" 947.649513888889 3.36
"687" 947.754247685185 3.09
"688" 948.817789351852 3.06
"689" 949.224537037037 3.2
"690" 951.160960648148 3.02
"691" 951.328125 3.39
"692" 953.305347222222 3.32
"693" 953.31019675926 3.29
"694" 956.626226851852 3.37
"695" 957.656458333333 3.26
"696" 957.840127314815 3.58
"697" 958.073101851852 3.8
"698" 959.18005787037 3.13
"699" 960.328958333334 3.02
"700" 960.6490625 3.1
"701" 960.776666666667 3
"702" 962.90758101852 3.05
"703" 962.909363425926 3.15
"704" 964.964270833333 3.19
"705" 964.996423611111 3.18
"706" 965.99445601852 3.23
"707" 966.825104166666 3.3
"708" 966.990381944444 3.07
"709" 967.049780092592 3.04
"710" 967.779444444444 3.2
"711" 969.091539351852 3.81
"712" 969.200300925926 3.47
"713" 970.632083333333 3.03
"714" 970.71824074074 3.7
"715" 970.980717592593 3.31
"716" 971.007326388889 3
"717" 971.572719907407 3.84
"718" 971.615902777778 3.87
"719" 972.091377314815 3.03
"720" 973.165543981481 3.22
"721" 975.113229166666 3.15
"722" 980.128645833333 3.47
"723" 980.335775462963 3.82
